36	1
36	2
36	3
36	4
36	6
36	12
37	2
37	3
37	8
38	1
38	2
38	3
38	4
38	6
38	8
38	12
38	16
39	2
39	4
39	6
40	1
40	2
40	3
40	4
40	6
40	8
40	12
41	1
41	2
41	3
41	4
41	6
41	8
41	9
41	12
41	14
41	16
42	1
42	2
42	3
42	4
42	8
43	1
43	2
43	3
43	4
43	6
43	8
43	12
43	16
43	22
43	27
44	1
44	2
44	4
44	6
45	1
45	2
45	3
45	4
45	6
45	8
45	9
45	10
45	12
45	16
45	18
45	24
46	1
46	2
46	3
46	4
46	6
46	8
46	9
46	12
46	16
46	24
47	1
47	2
47	3
47	4
47	6
47	7
47	8
47	9
47	12
48	1
48	2
48	3
48	4
48	5
48	6
48	8
48	9
48	12
48	16
49	1
49	2
49	3
49	4
49	6
49	8
49	10
49	12
49	16
50	1
50	2
50	3
50	4
50	5
50	6
50	8
50	9
50	12
50	14
50	16
50	18
50	24
50	32
51	1
51	2
51	3
51	4
51	6
51	8
51	12
51	16
52	1
52	2
52	3
52	4
52	6
52	8
52	10
52	12
52	14
52	16
52	17
52	18
53	1
53	2
53	3
53	4
53	6
53	8
53	9
53	12
53	16
53	24
53	32
54	1
54	2
54	3
54	4
54	6
54	8
54	12
54	16
55	1
55	2
55	3
55	4
55	6
55	8
55	9
55	10
55	12
55	14
55	16
55	18
55	24
55	26
55	27
56	1
56	2
56	4
56	6
56	8
56	16
56	18
57	1
57	2
57	3
57	4
57	5
57	6
57	8
57	9
57	12
57	14
57	16
57	20
57	24
57	26
57	32
58	1
58	2
58	3
58	4
58	6
58	8
58	9
58	10
58	12
58	16
58	20
58	32
59	1
59	2
59	3
59	4
59	5
59	6
59	8
59	16
59	30
60	1
60	2
60	3
60	4
60	6
60	8
60	9
60	12
60	16
60	18
60	22
60	30
61	1
61	2
61	4
61	6
61	8
61	16
62	1
62	2
62	3
62	4
62	5
62	6
62	8
62	12
62	16
62	24
62	32
63	1
63	2
63	3
63	4
63	6
63	8
63	12
63	16
64	1
64	2
64	3
64	4
64	6
64	7
64	8
64	10
64	12
64	16
65	1
65	2
65	3
65	4
65	6
65	7
65	8
65	12
65	16
66	1
66	2
66	3
66	4
66	6
66	8
66	12
66	16
67	1
67	2
67	3
67	4
67	6
67	7
67	8
67	12
67	16
68	1
68	2
68	4
68	6
68	8
68	10
68	16
69	1
69	2
69	3
69	4
69	5
69	6
69	8
69	12
69	14
69	16
70	1
70	2
70	3
70	4
70	5
70	6
70	8
70	12
70	16
70	20
71	1
71	2
71	3
71	4
71	6
71	8
71	16
71	24
72	1
72	2
72	3
72	4
72	6
72	8
72	12
72	13
72	14
72	16
72	28
72	32
73	1
73	2
73	3
73	4
73	6
73	8
73	12
73	16
74	1
74	2
74	3
74	4
74	5
74	6
74	7
74	8
74	10
74	12
74	13
74	16
74	24
74	28
74	30
75	1
75	2
75	3
75	4
75	6
75	8
75	11
75	16
76	1
76	1.33333
76	2
76	3
76	4
76	6
76	8
76	12
76	13
76	14
76	16
76	24
77	1
77	1.33333
77	2
77	3
77	4
77	6
77	8
77	12
77	16
77	32
78	1
78	2
78	4
78	8
79	1
79	1.33333
79	2
79	3
79	4
79	6
79	8
79	12
79	16
80	1
80	2
80	4
81	1
81	2
81	3
81	4
81	6
81	7
81	8
81	9
81	12
81	16
81	32
82	1
82	2
82	4
82	6
82	8
82	16
83	1
83	2
83	4
84	1
84	2
84	4
