0.5	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.125	0	0	0.125	0	0.125	0	0.25	0.125	0.125	0	0	0	0	0.125	0	0	0	0	0	0
0	0	0.363636	0.0909091	0.0909091	0.0909091	0	0	0.181818	0	0.181818	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.875	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.03125	0.15625	0.125	0.09375	0.03125	0.34375	0.03125	0	0.125	0	0.03125	0.03125	0	0	0	0	0	0	0
0	0	0	0	0.142857	0.142857	0.142857	0.428571	0	0.142857	0	0	0	0	0	0	0	0	0	0	0
0	0	0.0153846	0.0153846	0.0153846	0.153846	0.0461538	0.0615385	0.261538	0.138462	0.0615385	0	0.123077	0	0.0461538	0	0	0	0.0615385	0	0
0	0	0	0.0227273	0	0.0454545	0.0227273	0.5	0.113636	0.0227273	0.204545	0	0.0227273	0.0227273	0	0	0	0	0	0	0.0227273
0	0	0.0555556	0	0	0	0	0.25	0.0277778	0	0.361111	0.194444	0.0555556	0	0.0555556	0	0	0	0	0	0
0	0	0	0.0131579	0.0131579	0.0263158	0	0.0131579	0.223684	0.236842	0.131579	0.0526316	0.223684	0	0	0.0131579	0	0.0131579	0.0394737	0	0
0	0	0	0	0	0	0	0	0	0.0882353	0	0.0294118	0.794118	0.0588235	0.0294118	0	0	0	0	0	0
0	0	0	0	0	0.0325203	0	0.0406504	0	0	0.260163	0.162602	0.154472	0.0569106	0.227642	0.0243902	0	0.0325203	0	0.00813008	0
0	0	0	0	0	0	0	0.0740741	0	0	0	0.037037	0.407407	0.185185	0.148148	0.148148	0	0	0	0	0
0	0	0	0.0131579	0	0	0	0.0657895	0	0.0394737	0	0.0131579	0.407895	0.0263158	0.0921053	0.223684	0.0263158	0.0394737	0.0526316	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.0363636	0.163636	0.490909	0.127273	0	0.163636	0	0.0181818	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0.0526316	0	0	0	0.0263158	0.578947	0.0789474	0.105263	0.157895	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.173913	0	0.0434783	0.0434783	0	0.478261	0.130435	0.130435	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285714	0	0	0.142857	0.428571	0.142857	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
