0.240469	0.0175953	0.13783	0.0117302	0.00879765	0.0645161	0.00879765	0.0146628	0.0058651	0.117302	0.219941	0.152493
0.0888889	0.244444	0.666667	0	0	0	0	0	0	0	0	0
0.222513	0.013089	0.0968586	0.157068	0.319372	0.0183246	0	0.0811518	0.0026178	0.026178	0.0366492	0.026178
0.0434783	0	0.782609	0.0869565	0	0	0.0434783	0.0434783	0	0	0	0
0.0454545	0	0.227273	0	0.204545	0.204545	0.0454545	0.0681818	0.0227273	0.159091	0.0227273	0
0.045045	0	0.00900901	0.036036	0.27027	0.261261	0.027027	0.126126	0	0.0720721	0.0630631	0.0900901
0	0	0.0833333	0	0	0.416667	0.0833333	0.208333	0.0416667	0.125	0.0416667	0
0.25	0	0.0714286	0	0	0.142857	0.0357143	0.178571	0.0714286	0.214286	0.0357143	0
0	0	0	0	0	0	0	0.25	0	0.5	0.25	0
0.0245902	0	0.147541	0	0	0.0655738	0	0.0491803	0.0655738	0.0901639	0.336066	0.221311
0.14876	0	0.0330579	0.00619835	0.00206612	0.00826446	0.00206612	0.0165289	0.00413223	0.683884	0.0909091	0.00413223
0.263314	0.0650888	0.0769231	0.00295858	0.0384615	0.00591716	0	0.0207101	0.00295858	0.408284	0.0769231	0.0384615
0.189189	0	0.0810811	0.027027	0	0.0540541	0	0	0	0.027027	0.0810811	0.540541
0	0.108108	0.594595	0.0135135	0.0675676	0	0	0.0135135	0.0135135	0.175676	0	0.0135135
0.0910853	0.0581395	0.226744	0.0193798	0.343023	0.0290698	0.00581395	0.0387597	0.00581395	0.127907	0.0193798	0.0348837
0	0	0.142857	0.142857	0.571429	0	0	0	0	0	0	0.142857
0	0.0232558	0.372093	0	0.186047	0.0232558	0	0	0	0.395349	0	0
0	0	0.333333	0	0.333333	0	0	0	0	0	0	0.333333
0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0.5	0	0	0.25	0	0.25	0	0
0	0	0	0	0	0	0	0	1	0	0	0
0	0	0.386364	0	0	0.0454545	0.0227273	0.0454545	0	0.159091	0.0227273	0.318182
0	0	0	0	0	0	0.1	0	0	0.6	0.3	0
0.0232558	0.581395	0.0232558	0	0	0	0	0	0	0.325581	0.0465116	0
0.0971787	0.0109718	0.158307	0.0125392	0.0188088	0.0360502	0.0015674	0.0109718	0	0.0219436	0.373041	0.258621
0.071618	0.0795756	0.586207	0	0.0742706	0.0185676	0	0.00530504	0	0.0477454	0.0132626	0.103448
0.170178	0.110211	0.309562	0.0372771	0.106969	0.0275527	0.00324149	0.0567261	0.00324149	0.076175	0.0243112	0.0745543
0.0440252	0.00628931	0.371069	0.226415	0.0503145	0.232704	0	0.0251572	0	0.0188679	0.0251572	0
